"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"303898920","03/30/2025","22:50:00","BROOKLYN","INSIDE","75","0","DWELLING","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","45-64","M","BLACK","1,014,285","185,709","40.676364","-73.891718","POINT (-73.891718 40.676364)"
"308800534","06/28/2025","20:20:00","BRONX","OUTSIDE","40","2","HOUSING","(null)","N","(null)","(null)","(null)","<18","M","BLACK","1,005,674","234,940","40.811515","-73.922607","POINT (-73.922607 40.811515)"
"299382241","01/13/2025","21:15:00","MANHATTAN","OUTSIDE","30","0","STREET","(null)","N","<18","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","997,512","239,558","40.824207","-73.95208","POINT (-73.95208 40.824207)"
"307259944","05/29/2025","00:21:00","QUEENS","OUTSIDE","101","0","STREET","(null)","N","25-44","M","BLACK","25-44","M","BLACK","1,053,092","158,139","40.60046388","-73.75209442","POINT (-73.75209442 40.60046388)"
"301178228","02/15/2025","17:00:00","QUEENS","INSIDE","107","0","DWELLING","PVT HOUSE","Y","<18","M","BLACK","<18","F","BLACK","1,048,369","201,076","40.718362","-73.768693","POINT (-73.768693 40.718362)"
"305412876","04/27/2025","06:31:00","QUEENS","OUTSIDE","108","0","STREET","(null)","N","25-44","M","BLACK","UNKNOWN","M","UNKNOWN","996,424","210,017","0","0","POINT (0 0)"
"305285855","04/24/2025","10:21:00","MANHATTAN","OUTSIDE","25","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1,001,375","231,978","40.803394","-73.938144","POINT (-73.938144 40.803394)"
"301529588","02/22/2025","18:14:00","BRONX","OUTSIDE","47","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","BLACK","1,026,368","262,340","40.886646","-73.847675","POINT (-73.847675 40.886646)"
"305252462","04/23/2025","16:54:00","BRONX","OUTSIDE","50","0","STREET","(null)","Y","18-24","M","BLACK","25-44","M","WHITE","1,011,704","255,784","40.868709","-73.900738","POINT (-73.900738 40.868709)"
"307581456","06/04/2025","23:45:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","(null)","(null)","(null)","<18","M","WHITE HISPANIC","1,003,468","238,054","40.820068","-73.930566","POINT (-73.930566 40.820068)"
"307645265","06/05/2025","21:52:00","BRONX","OUTSIDE","42","0","STREET","(null)","N","(null)","(null)","(null)","45-64","M","BLACK","1,009,310","238,924","40.82243119","-73.90945601","POINT (-73.90945601 40.82243119)"
"301018725","02/12/2025","21:11:00","BROOKLYN","OUTSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","999,258","193,584","40.698016","-73.945876","POINT (-73.945876 40.698016)"
"304263630","04/05/2025","19:20:00","BRONX","INSIDE","46","0","COMMERCIAL","RESTAURANT/DINER","N","<18","M","BLACK","25-44","M","BLACK","1,013,790","253,301","40.861887","-73.893207","POINT (-73.893207 40.861887)"
"306675852","05/19/2025","14:12:00","MANHATTAN","OUTSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","WHITE HISPANIC","998,746","230,395","40.799054","-73.947644","POINT (-73.947644 40.799054)"
"306610276","05/17/2025","21:57:00","BROOKLYN","OUTSIDE","75","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","18-24","M","BLACK","1,014,679","179,606","40.65961","-73.890327","POINT (-73.890327 40.65961)"
"305252462","04/23/2025","16:54:00","BRONX","OUTSIDE","50","0","STREET","(null)","N","18-24","M","BLACK","25-44","F","WHITE HISPANIC","1,011,704","255,784","40.868709","-73.900738","POINT (-73.900738 40.868709)"
"305637545","04/30/2025","22:40:00","QUEENS","OUTSIDE","103","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","1,041,743","198,016","40.70999809","-73.79262296","POINT (-73.79262296 40.70999809)"
"305036739","04/20/2025","06:35:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC","1,006,490","244,533","0","0","POINT (0 0)"
"306991088","05/24/2025","20:15:00","BRONX","OUTSIDE","41","0","STREET","(null)","N","<18","M","BLACK","25-44","M","WHITE HISPANIC","1,016,221","235,286","40.812432","-73.884504","POINT (-73.884504 40.812432)"
"303700019","03/26/2025","14:21:00","QUEENS","OUTSIDE","103","0","STREET","(null)","Y","<18","M","BLACK","<18","M","BLACK","1,043,590","195,903","40.70418623","-73.78597948","POINT (-73.78597948 40.70418623)"
"298949942","01/03/2025","17:30:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","25-44","M","BLACK HISPANIC","<18","M","BLACK","1,007,076","246,675","40.843722","-73.917502","POINT (-73.917502 40.843722)"
"298909833","01/04/2025","16:50:00","MANHATTAN","OUTSIDE","28","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","BLACK","997,365","231,723","40.802702","-73.95263","POINT (-73.95263 40.802702)"
"303476410","03/22/2025","20:13:00","BROOKLYN","OUTSIDE","73","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,009,059","180,294","40.661517","-73.910579","POINT (-73.910579 40.661517)"
"304199342","04/04/2025","14:29:00","MANHATTAN","OUTSIDE","34","0","STREET","(null)","N","<18","M","BLACK","18-24","M","BLACK HISPANIC","1,005,517","255,164","40.86701515","-73.92310894","POINT (-73.92310894 40.86701515)"
"298756517","01/01/2025","05:15:00","BRONX","OUTSIDE","44","0","STREET","(null)","N","45-64","M","BLACK","18-24","M","BLACK","1,009,255","244,278","40.83712653","-73.90963478","POINT (-73.90963478 40.83712653)"
"307729596","06/08/2025","05:20:00","BRONX","INSIDE","42","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK HISPANIC","<18","F","WHITE HISPANIC","1,010,250","238,635","40.821644","-73.906059","POINT (-73.906059 40.821644)"
"308312285","06/18/2025","16:40:00","QUEENS","OUTSIDE","101","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","BLACK","1,044,820","156,440","40.59587","-73.781896","POINT (-73.781896 40.59587)"
"301529587","02/22/2025","00:38:00","BRONX","INSIDE","45","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC","1,032,397","238,442","40.821023","-73.826044","POINT (-73.826044 40.821023)"
"305004828","04/19/2025","02:30:00","BROOKLYN","OUTSIDE","88","0","STREET","(null)","N","18-24","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","993,693","192,830","40.695956","-73.965945","POINT (-73.965945 40.695956)"
"304923535","04/17/2025","17:03:00","MANHATTAN","OUTSIDE","26","2","HOUSING","MULTI DWELL - PUBLIC HOUS","Y","<18","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC","996,071","236,561","40.815983","-73.957292","POINT (-73.957292 40.815983)"
"306880258","05/22/2025","17:55:00","BROOKLYN","OUTSIDE","77","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","BLACK","1,001,597","185,351","40.675414","-73.937462","POINT (-73.937462 40.675414)"
"304579781","04/11/2025","01:14:00","BROOKLYN","OUTSIDE","83","0","STREET","(null)","Y","25-44","M","BLACK","25-44","M","BLACK","1,009,606","188,105","40.682954","-73.908578","POINT (-73.908578 40.682954)"
"301565780","02/23/2025","19:50:00","BRONX","OUTSIDE","49","0","STREET","(null)","Y","(null)","(null)","(null)","25-44","M","BLACK","1,020,860","251,009","40.855571","-73.86766","POINT (-73.86766 40.855571)"
